seed,arm,representation,matched_reference_for,task_type,target_definition,target_kind,target,timing,interval,input_variant,metric_space,feature_dim,fold,n,spearman,pearson,natural_r2,transformed_r2,rmse,mae,prediction_target_variance_ratio,calibration_slope,calibration_intercept,residual_spearman,residual_pearson,residual_transformed_r2,residual_rmse,residual_mae,reconstructed_natural_r2,reconstructed_natural_rmse,reconstructed_natural_mae,reconstructed_prediction_target_variance_ratio,reconstructed_calibration_slope,reconstructed_calibration_intercept,natural_spearman,natural_pearson,transformed_spearman,transformed_pearson,natural_metric_interpretation
2026,LOCAL3,Z3,,static,goal6_workbook_endpoint,raw,LD,T1,,current,natural_target,128,3,72,0.2599561238277076,0.38561584281913003,0.01994941126486971,0.07258421615224053,2.2888969170642457,1.5229659048498303,0.01617592874871157,3.0319375778653663,-5.770368256062122,,,,,,,,,,,,0.2599561238277076,0.38561584281913003,0.2596203781606739,0.3201995384241975,raw_target
2026,LOCAL3,Z3,,static,goal6_workbook_endpoint,raw,LD,T1,,current,natural_target,128,4,84,0.27933947007947146,0.25050409445000543,-0.01942066283613264,0.0006572185644148076,2.2304623058528206,1.6146988055852496,0.28838913701688496,0.4664717848539169,1.8963879704209308,,,,,,,,,,,,0.27933947007947146,0.25050409445000543,0.27933947007947146,0.28368689017872345,raw_target
2026,LOCAL3,Z4,,static,goal6_workbook_endpoint,raw,LD,T1,,current,natural_target,256,0,69,0.2244316320876074,0.20040576778014574,-0.020624664137326887,-0.046694033214047304,1.7651061952554592,1.293860926885348,0.1938938797759921,0.45512235307490506,1.8335091431436543,,,,,,,,,,,,0.2244316320876074,0.20040576778014574,0.2244316320876074,0.2023900800007141,raw_target
2026,LOCAL3,Z4,,static,goal6_workbook_endpoint,raw,LD,T1,,current,natural_target,256,1,67,0.3035887688862928,0.3839334158884121,0.1329735087650078,0.060572303073995304,1.6187690560050552,1.1978401754211017,0.1438510431865504,1.012277083181472,0.1687192644675397,,,,,,,,,,,,0.3035887688862928,0.3839334158884121,0.3035887688862928,0.2747904996987341,raw_target
2026,LOCAL3,Z4,,static,goal6_workbook_endpoint,raw,LD,T1,,current,natural_target,256,2,83,0.3350519733229403,0.303323248485021,-0.06323815295452939,0.032022325223289516,2.15921490654911,1.4451441988523193,0.03661353879619906,1.585202852533027,-1.0353805578097535,,,,,,,,,,,,0.3350519733229403,0.303323248485021,0.3346179808577361,0.3354689246385359,raw_target
2026,LOCAL3,Z4,,static,goal6_workbook_endpoint,raw,LD,T1,,current,natural_target,256,3,72,0.26964073219111373,0.35673769288722496,0.012677398869880174,0.06890452647558476,2.2973730735729956,1.5310625161402398,0.018683340219931895,2.609887204370599,-4.4022159367466305,,,,,,,,,,,,0.26964073219111373,0.35673769288722496,0.2693372395071262,0.30400997229819915,raw_target
2026,LOCAL3,Z4,,static,goal6_workbook_endpoint,raw,LD,T1,,current,natural_target,256,4,84,0.24955311782597353,0.2362398119793526,0.003720316545904767,-0.003648837448867015,2.205001093457173,1.6148147454510433,0.21246323551332658,0.5125204430086285,1.769456722671602,,,,,,,,,,,,0.24955311782597353,0.2362398119793526,0.24955311782597353,0.25387739545197696,raw_target
2026,LOCAL3,Z4_MATCHED_Z5,Z5,static,goal6_workbook_endpoint,raw,LD,T1,,current,natural_target,256,0,69,0.2244316320876074,0.20040576778014574,-0.020624664137326887,-0.046694033214047304,1.7651061952554592,1.293860926885348,0.1938938797759921,0.45512235307490506,1.8335091431436543,,,,,,,,,,,,0.2244316320876074,0.20040576778014574,0.2244316320876074,0.2023900800007141,raw_target
2026,LOCAL3,Z4_MATCHED_Z5,Z5,static,goal6_workbook_endpoint,raw,LD,T1,,current,natural_target,256,1,67,0.3035887688862928,0.3839334158884121,0.1329735087650078,0.060572303073995304,1.6187690560050552,1.1978401754211017,0.1438510431865504,1.012277083181472,0.1687192644675397,,,,,,,,,,,,0.3035887688862928,0.3839334158884121,0.3035887688862928,0.2747904996987341,raw_target
2026,LOCAL3,Z4_MATCHED_Z5,Z5,static,goal6_workbook_endpoint,raw,LD,T1,,current,natural_target,256,2,83,0.3350519733229403,0.303323248485021,-0.06323815295452939,0.032022325223289516,2.15921490654911,1.4451441988523193,0.03661353879619906,1.585202852533027,-1.0353805578097535,,,,,,,,,,,,0.3350519733229403,0.303323248485021,0.3346179808577361,0.3354689246385359,raw_target
2026,LOCAL3,Z4_MATCHED_Z5,Z5,static,goal6_workbook_endpoint,raw,LD,T1,,current,natural_target,256,3,72,0.26964073219111373,0.35673769288722496,0.012677398869880174,0.06890452647558476,2.2973730735729956,1.5310625161402398,0.018683340219931895,2.609887204370599,-4.4022159367466305,,,,,,,,,,,,0.26964073219111373,0.35673769288722496,0.2693372395071262,0.30400997229819915,raw_target
2026,LOCAL3,Z4_MATCHED_Z5,Z5,static,goal6_workbook_endpoint,raw,LD,T1,,current,natural_target,256,4,84,0.24955311782597353,0.2362398119793526,0.003720316545904767,-0.003648837448867015,2.205001093457173,1.6148147454510433,0.21246323551332658,0.5125204430086285,1.769456722671602,,,,,,,,,,,,0.24955311782597353,0.2362398119793526,0.24955311782597353,0.25387739545197696,raw_target
2026,LOCAL3,Z4_MATCHED_Z6,Z6,static,goal6_workbook_endpoint,raw,LD,T1,,current,natural_target,256,0,69,0.2244316320876074,0.20040576778014574,-0.020624664137326887,-0.046694033214047304,1.7651061952554592,1.293860926885348,0.1938938797759921,0.45512235307490506,1.8335091431436543,,,,,,,,,,,,0.2244316320876074,0.20040576778014574,0.2244316320876074,0.2023900800007141,raw_target
2026,LOCAL3,Z4_MATCHED_Z6,Z6,static,goal6_workbook_endpoint,raw,LD,T1,,current,natural_target,256,1,67,0.3035887688862928,0.3839334158884121,0.1329735087650078,0.060572303073995304,1.6187690560050552,1.1978401754211017,0.1438510431865504,1.012277083181472,0.1687192644675397,,,,,,,,,,,,0.3035887688862928,0.3839334158884121,0.3035887688862928,0.2747904996987341,raw_target
2026,LOCAL3,Z4_MATCHED_Z6,Z6,static,goal6_workbook_endpoint,raw,LD,T1,,current,natural_target,256,2,83,0.3350519733229403,0.303323248485021,-0.06323815295452939,0.032022325223289516,2.15921490654911,1.4451441988523193,0.03661353879619906,1.585202852533027,-1.0353805578097535,,,,,,,,,,,,0.3350519733229403,0.303323248485021,0.3346179808577361,0.3354689246385359,raw_target
