n,n_positive,n_negative,auroc,auprc,brier,calibration_slope,ece10,seed,fold,timing,population,arm,model,selected_c,validation_auroc
83.0,24.0,59.0,0.6147598870056497,0.487924545738347,0.2161105460655973,1.5044506024321695,0.1361186377369254,2026,2,T0,ftv_complete_375,C0,C,0.01,0.7436974789915967
83.0,24.0,59.0,0.6624293785310734,0.455335402858854,0.2425863429154408,9.588339419811136,0.2014346606915712,2026,2,T0,ftv_complete_375,C0,C_PLUS_M,0.001,0.7092436974789916
83.0,24.0,59.0,0.5628531073446328,0.4705568601967343,0.2450012423401457,97.06363933392052,0.1987794958529562,2026,2,T0,ftv_complete_375,C0,F,0.001,0.4890756302521008
83.0,24.0,59.0,0.6193502824858756,0.495950188268933,0.2160012239908575,1.5193108850423236,0.1360885208485583,2026,2,T0,ftv_complete_375,C0,C_PLUS_F,0.01,0.7428571428571429
83.0,24.0,59.0,0.6581920903954803,0.4565367493540021,0.2158535121161202,1.4803213306586802,0.151116995013737,2026,2,T0,ftv_complete_375,C0,C_PLUS_F_PLUS_M,0.01,0.7126050420168067
83.0,24.0,59.0,0.6147598870056497,0.487924545738347,0.2161105460655973,1.5044506024321695,0.1361186377369254,2026,2,T0_T1,ftv_complete_375,C0,C,0.01,0.7436974789915967
83.0,24.0,59.0,0.5282485875706214,0.3869458731825222,0.2202793761607439,0.1799102310639146,0.1262244794583967,2026,2,T0_T1,ftv_complete_375,C0,C_PLUS_M,0.1,0.7647058823529412
83.0,24.0,59.0,0.7281073446327684,0.5646531213483411,0.1835829890036165,1.7617746510418208,0.1317653333723246,2026,2,T0_T1,ftv_complete_375,C0,F,1.0,0.7949579831932774
83.0,24.0,59.0,0.6836158192090396,0.5227797024208795,0.1875880129000307,0.6780002318724825,0.0988489361690658,2026,2,T0_T1,ftv_complete_375,C0,C_PLUS_F,1.0,0.8319327731092436
83.0,24.0,59.0,0.5564971751412429,0.4061428277571473,0.2208289033789562,0.1889096151404477,0.1262720821532093,2026,2,T0_T1,ftv_complete_375,C0,C_PLUS_F_PLUS_M,1.0,0.8352941176470589
83.0,24.0,59.0,0.6147598870056497,0.487924545738347,0.2161105460655973,1.5044506024321695,0.1361186377369254,2026,2,T0_T2,ftv_complete_375,C0,C,0.01,0.7436974789915967
83.0,24.0,59.0,0.5649717514124295,0.3827203171315603,0.2321500328640972,0.2783748228114022,0.1939881936089651,2026,2,T0_T2,ftv_complete_375,C0,C_PLUS_M,0.1,0.8605042016806722
83.0,24.0,59.0,0.7309322033898304,0.5016259667368882,0.1793593051776008,1.16826186097659,0.0643103801827486,2026,2,T0_T2,ftv_complete_375,C0,F,10.0,0.7109243697478991
83.0,24.0,59.0,0.7337570621468927,0.5498809417751204,0.1743916532577191,1.0630737072628051,0.1002990392965148,2026,2,T0_T2,ftv_complete_375,C0,C_PLUS_F,0.1,0.8151260504201681
83.0,24.0,59.0,0.6567796610169492,0.4702673892694983,0.208162723389374,0.4752936662039917,0.173648743818062,2026,2,T0_T2,ftv_complete_375,C0,C_PLUS_F_PLUS_M,0.1,0.8974789915966387
83.0,24.0,59.0,0.6147598870056497,0.487924545738347,0.2161105460655973,1.5044506024321695,0.1361186377369254,2026,2,T0_T3,ftv_complete_375,C0,C,0.01,0.7436974789915967
