model,task,target,timepoint,transition,representation,metric,estimate,ci_low,ci_high,bootstrap_replicates,finite_replicates,bootstrap_unit
G0,static,sphericity,T2,,response_state,rmse,0.11965139842052996,0.10693144424756403,0.1333195867859201,2000,2000,patient_within_outer_fold
G0,static,sphericity,T2,,response_state,prediction_target_variance_ratio,0.03752019046995753,0.02923491659174622,0.04864605553485564,2000,2000,patient_within_outer_fold
G0,static,sphericity,T2,,response_state,rmse_gain_over_b0,0.019898845717747186,0.0021600944357009076,0.038671385416842265,2000,2000,patient_within_outer_fold
G0,static,sphericity,T3,,response_state,spearman,0.025557856411423375,-0.07785353849753979,0.1226454903795577,2000,2000,patient_within_outer_fold
G0,static,sphericity,T3,,response_state,pearson,0.024571213477650563,-0.07587110566318099,0.11724137638445437,2000,2000,patient_within_outer_fold
G0,static,sphericity,T3,,response_state,r2,-0.044806893291036376,-0.09675078360130844,-0.002959618873790577,2000,2000,patient_within_outer_fold
G0,static,sphericity,T3,,response_state,mae,0.1158283774013088,0.1071472858312309,0.12463011191608757,2000,2000,patient_within_outer_fold
G0,static,sphericity,T3,,response_state,rmse,0.14448020673486842,0.1334560042288873,0.15513486698452292,2000,2000,patient_within_outer_fold
G0,static,sphericity,T3,,response_state,prediction_target_variance_ratio,0.0553843809642468,0.04379221504941681,0.06957264424910267,2000,2000,patient_within_outer_fold
G0,static,sphericity,T3,,response_state,rmse_gain_over_b0,-0.020252871114427782,-0.04281821346933283,0.00015277775663887776,2000,2000,patient_within_outer_fold
G1,change,ftv,,T0→T1,response_state,spearman,0.3829297986119013,0.2933776657631655,0.4631034061230586,2000,2000,patient_within_outer_fold
G1,change,ftv,,T0→T1,response_state,pearson,0.29485862513458766,0.22248357894976617,0.37017608843223854,2000,2000,patient_within_outer_fold
G1,change,ftv,,T0→T1,response_state,r2,0.07232262004233048,-0.0010520058950203581,0.13339164506534454,2000,2000,patient_within_outer_fold
G1,change,ftv,,T0→T1,response_state,mae,0.5802024579611361,0.5264302518475541,0.635897802835277,2000,2000,patient_within_outer_fold
G1,change,ftv,,T0→T1,response_state,rmse,0.7894782193220529,0.6984486127903182,0.8787583305183283,2000,2000,patient_within_outer_fold
G1,change,ftv,,T0→T1,response_state,prediction_target_variance_ratio,0.1678788642835868,0.12527398427540198,0.22682691063583335,2000,2000,patient_within_outer_fold
G1,change,ftv,,T0→T1,response_state,rmse_gain_over_b0,0.043113487631965056,0.007627483473572849,0.07657032234679996,2000,2000,patient_within_outer_fold
G1,change,ftv,,T1→T2,response_state,spearman,0.24782569120491527,0.14728914900826595,0.34354934692217703,2000,2000,patient_within_outer_fold
G1,change,ftv,,T1→T2,response_state,pearson,0.2684119226425085,0.16757644941603056,0.3656854878175807,2000,2000,patient_within_outer_fold
G1,change,ftv,,T1→T2,response_state,r2,0.07183158025545788,0.01716377408255778,0.12096413671911763,2000,2000,patient_within_outer_fold
G1,change,ftv,,T1→T2,response_state,mae,0.8574392622889785,0.7948732152558393,0.9230464405575266,2000,2000,patient_within_outer_fold
G1,change,ftv,,T1→T2,response_state,rmse,1.0776434658151528,0.9954725942580553,1.1611764069867814,2000,2000,patient_within_outer_fold
G1,change,ftv,,T1→T2,response_state,prediction_target_variance_ratio,0.06530389401946578,0.05026771622133743,0.08419739437159263,2000,2000,patient_within_outer_fold
G1,change,ftv,,T1→T2,response_state,rmse_gain_over_b0,0.03952597593208606,0.013457295833742769,0.06640065955512837,2000,2000,patient_within_outer_fold
G1,change,ftv,,T2→T3,response_state,spearman,0.23818159062464445,0.13841437693847852,0.33269270996822914,2000,2000,patient_within_outer_fold
G1,change,ftv,,T2→T3,response_state,pearson,0.29057955596590884,0.18773554853147237,0.3848784277100923,2000,2000,patient_within_outer_fold
G1,change,ftv,,T2→T3,response_state,r2,0.08402938144805927,0.02514875378404451,0.13179724437110538,2000,2000,patient_within_outer_fold
G1,change,ftv,,T2→T3,response_state,mae,0.8728998806064201,0.7938551906728628,0.9507774998098771,2000,2000,patient_within_outer_fold
G1,change,ftv,,T2→T3,response_state,rmse,1.1860064818992266,1.0680849816618787,1.3034035901653855,2000,2000,patient_within_outer_fold
G1,change,ftv,,T2→T3,response_state,prediction_target_variance_ratio,0.07334765628829587,0.052526453071848715,0.10011789156284279,2000,2000,patient_within_outer_fold
G1,change,ftv,,T2→T3,response_state,rmse_gain_over_b0,0.0447342865254535,0.016151890190117996,0.07103691096802398,2000,2000,patient_within_outer_fold
G1,change,ld,,T0→T1,response_state,spearman,0.10754143011013408,0.0067651055227352765,0.21012974223275735,2000,2000,patient_within_outer_fold
G1,change,ld,,T0→T1,response_state,pearson,0.07406363631676686,0.015388867953531872,0.14608932793657836,2000,2000,patient_within_outer_fold
