model,task,target,timepoint,transition,representation,n,n_patients,n_folds,spearman,pearson,r2,mae,rmse,b0_rmse,rmse_gain_over_b0,target_variance,prediction_variance,prediction_target_variance_ratio
G3,change,sphericity,,T0→T1,response_state,375,375,5,0.040043918534531805,0.012014652051773265,-0.03832799628233707,0.051999642262469926,0.07152529332796442,0.07090939853803443,-0.008685658073938311,0.004940198467491306,0.00020139155492030912,0.04076588344487671
G3,change,sphericity,,T1→T2,response_state,375,375,5,0.021667994083513484,0.01294075644624005,-0.021817931146147718,0.07651642958896479,0.10776638466753402,0.10717154951027219,-0.00555030845387578,0.011396008720189683,0.00029618324312280796,0.025990085686585722
G3,change,sphericity,,T2→T3,response_state,375,375,5,0.04034361133234725,0.029056041538926086,-0.023340454222545937,0.09009426157404926,0.12880802802261496,0.1276291601039124,-0.009236665960527786,0.016256437762729836,0.0005530958960528541,0.03402319155804871
G3,static,ftv,T0,,response_state,375,375,5,0.7073394015246331,0.416372666160251,0.11639611386125204,16.000256085508894,40.1069950337581,44.60035130440287,0.10074710488213556,1825.333804041963,620.6689765148808,0.3400303961612339
G3,static,ftv,T1,,response_state,375,375,5,0.6865791330071681,0.2863037785061101,0.04433377584300813,11.48037102648209,36.834537419655625,39.040935299528144,0.05651498518016257,1423.5209688874065,118.5747347131845,0.08329679527366567
G3,static,ftv,T2,,response_state,375,375,5,0.5973473660257139,0.0950169664189053,-0.572412319774825,8.081216820263496,39.00180123650368,31.89590142522411,-0.22278410371747762,969.9795028937233,694.7316851611806,0.7162333668789902
G3,static,ftv,T3,,response_state,375,375,5,0.4010830811857488,0.34806594163599064,0.07642004020216409,3.1494451719179573,11.925061035688978,12.7102476994274,0.06177587426355151,154.38545631958928,8.115603834982345,0.05256715255731373
G3,static,ld,T0,,response_state,375,375,5,0.3561203960799349,0.33334190824670856,0.08110217533110087,1.4395983252607505,2.0624317013026814,2.1969467589818237,0.06122818276282825,4.641427736185383,0.6647086141562841,0.14321210022814734
G3,static,ld,T1,,response_state,375,375,5,0.306776101915943,0.2544333952309575,-0.013025952161461074,1.3784254508363374,2.068367417593138,2.140487048495622,0.033693093799923246,4.234425240641712,0.38985654313151613,0.0920683495341235
G3,static,ld,T2,,response_state,375,375,5,0.36315369859798197,0.3661692775859148,-0.06814182435954974,1.5299295326084796,2.2073462716860996,2.4119305880851725,0.08482180930484072,4.573742174688057,1.0804002205011012,0.23621799813733219
G3,static,ld,T3,,response_state,375,375,5,0.26875943356904325,0.2204938345314115,-0.2758596464101877,1.3922127063620686,2.011353890579181,2.0507854155826677,0.0192275236130854,3.179316352228164,0.8804426490650306,0.2769282926022725
G3,static,sphericity,T0,,response_state,375,375,5,0.4896415974513597,0.4277827104022633,0.17930768741964642,0.06685845098038462,0.0854130448824372,0.09462372746632344,0.09734009460961388,0.00891307803133714,0.002108966588780175,0.23661484633763358
G3,static,sphericity,T1,,response_state,375,375,5,0.2901813630674707,0.27754796142696386,0.06302733761580803,0.07147145041719993,0.0884353113397493,0.09147100650659057,0.033187512445515106,0.008369204191322312,0.0012825810732974906,0.15325006344418587
G3,static,sphericity,T2,,response_state,375,375,5,0.29006371600864717,0.26622396248382857,0.07040043090130876,0.08819753083949905,0.11707890004737499,0.12208066269256974,0.040970965711338465,0.014784989450696916,0.000886710962011016,0.059973729772882546
G3,static,sphericity,T3,,response_state,375,375,5,0.20129297986119013,0.13730423604620964,0.006971480944123032,0.11354215514653758,0.1408546537597763,0.14161215403104124,0.00534911905300802,0.02003273956580448,0.0011944519245694724,0.05962499141197742
G4,change,ftv,,T0→T1,response_state,375,375,5,0.38344430538172714,0.36258318107639065,0.13094040569591547,0.5578994801095095,0.7641285889353486,0.825048957340101,0.07383848905300756,0.6736634796504758,0.07775096716349078,0.11541514348355528
G4,change,ftv,,T1→T2,response_state,375,375,5,0.25714643304130164,0.25069977496035556,0.054590738662632865,0.8474830394313028,1.0876060938276553,1.1219912655742514,0.030646559203825294,1.2545358537735374,0.14316524144169332,0.11411809476075509
G4,change,ftv,,T2→T3,response_state,375,375,5,0.24574786665149623,0.27599288067000344,0.07614209453006804,0.8742895806310362,1.1911017994651554,1.2415461637217322,0.04063027677147487,1.5397572143942888,0.1216082289952073,0.07897883371375901
