model,task,target,timepoint,transition,representation,fold,n,n_patients,n_folds,spearman,pearson,r2,mae,rmse,b0_rmse,rmse_gain_over_b0,target_variance,prediction_variance,prediction_target_variance_ratio
G3,static,sphericity,T0,,response_state,2,83,83,1,0.4201334956550942,0.4211135077709322,0.1622081257323953,0.05606626839221854,0.06905869401607129,0.07547010818517934,0.08495302740757316,0.005761888080833325,0.0013739263618628695,0.23845072007441048
G3,static,sphericity,T1,,response_state,2,83,83,1,0.355841484404517,0.3999104555977444,0.13810820997214146,0.05906966102670918,0.07294070196673262,0.07906346411906039,0.07744110659137825,0.00624814893707224,0.001096095331874033,0.17542720938845638
G3,static,sphericity,T2,,response_state,2,83,83,1,0.31749296838923635,0.3206178092939821,0.09934997665402923,0.0891129420455553,0.1205034772245879,0.12698440374655587,0.051037185124742104,0.016319518216320772,0.0012688753549779629,0.0777520107002295
G3,static,sphericity,T3,,response_state,2,83,83,1,0.2272364720204861,0.20085331598854575,0.013035561958963271,0.10957201450832568,0.13312305246068593,0.1340032422687045,0.006568421727092302,0.01817478449282748,0.0024214032803847488,0.13322872033725267
G4,change,ftv,,T0→T1,response_state,2,83,83,1,0.3278199907644515,0.3681596556470863,0.09643891411469818,0.5423315882434018,0.7002813051301031,0.7601236907867567,0.0787271681990525,0.5493533614498459,0.10261022511100736,0.18678364839745376
G4,change,ftv,,T1→T2,response_state,2,83,83,1,0.34410813987657946,0.3492070216768863,0.11380929839632725,0.8620866663643261,1.1461948289841835,1.2184404171729222,0.059293492870472926,1.5005619879951004,0.10606091489217555,0.07068079542244265
G4,change,ftv,,T2→T3,response_state,2,83,83,1,0.2201418916082448,0.28093012945248913,0.049013940955604296,0.9816488702973396,1.294226586165411,1.3446595880675725,0.0375061482844438,1.7828332427576514,0.1477208280835605,0.0828573444452207
G4,change,ld,,T0→T1,response_state,2,83,83,1,0.005383703156316483,0.16489419938814606,-0.06883251176283744,0.2759248145233338,0.3604817872999971,0.3595757852842013,-0.002519641346481897,0.1230612266099327,0.019684716991729145,0.15995872570101885
G4,change,ld,,T1→T2,response_state,2,83,83,1,0.23309998857074354,0.18848151869918905,-0.031546940603332185,0.8812338194228624,1.185049992164134,1.1824065273057922,-0.002235664974182033,1.377998002829351,0.26393122678948283,0.1915323725053088
G4,change,ld,,T2→T3,response_state,2,83,83,1,0.15402231570217004,0.15650770861570226,-0.008183436900041752,0.807590065278111,1.046303706407411,1.0515416062858507,0.004981162749175929,1.099107595776249,0.07833843824266602,0.07127458543978053
G4,change,sphericity,,T0→T1,response_state,2,83,83,1,0.15933420091515887,0.08527587506539293,-0.015480915538379714,0.04554354947903816,0.061701461118118986,0.06154377411795904,-0.0025621925600095843,0.003794751759271841,0.00018292662294525216,0.048205161905071015
G4,change,sphericity,,T1→T2,response_state,2,83,83,1,0.1631123798329205,0.142658468675403,0.006761343688932331,0.0685448178998261,0.10488550558128874,0.10568482436889971,0.007563231451479692,0.011210928382875112,0.0006344761154258033,0.05659443123327561
G4,change,sphericity,,T2→T3,response_state,2,83,83,1,0.23995634104361693,0.13426037560993812,0.0148177504755157,0.0932413861590353,0.136411656464957,0.13743371011027342,0.0074367027165048215,0.01911835963896818,0.0006354960733461045,0.03324009409524856
G4,static,ftv,T0,,response_state,2,83,83,1,0.7467150833298349,0.6622343263092012,0.3894965576696159,17.348591538852023,32.559689719776834,44.382000757426226,0.2663762524421845,1757.6671584101086,1246.0203356372974,0.7089057388796981
