protocol,population,view,timing,timing_label,feature_set,model_type,target,n,n_positive,auroc,auprc,balanced_accuracy,brier
primary_stratified_384,clinical_radiomics_complete_384,static,T2,T2,N,logistic,HR,384,222.0,0.5116505394283173,0.5750432619178063,0.51001001001001,0.2482239809804636
primary_stratified_384,clinical_radiomics_complete_384,static,T2,T2,N,logistic,subtype,384,,0.5683360408584044,0.2976287231051271,0.2509820426487093,0.6725900521366229
primary_stratified_384,clinical_radiomics_complete_384,static,T2,T2,N,rbf_svm,HER2,384,90.0,0.4995086923658353,0.2484040705470505,0.5002267573696145,0.17968197128341656
primary_stratified_384,clinical_radiomics_complete_384,static,T2,T2,N,rbf_svm,HR,384,222.0,0.5069652986319653,0.5916721022773304,0.49024024024024027,0.2445782248932932
primary_stratified_384,clinical_radiomics_complete_384,static,T2,T2,N,rbf_svm,subtype,384,,0.46115634583148707,0.24702655466674744,0.24508978675645343,0.680436482321989
primary_stratified_384,clinical_radiomics_complete_384,static,T3,T3 (late/pre-surgery),FULL,logistic,HER2,384,90.0,0.5034769463340891,0.2548750080014586,0.4843537414965986,0.1791209247016664
primary_stratified_384,clinical_radiomics_complete_384,static,T3,T3 (late/pre-surgery),FULL,logistic,HR,384,222.0,0.4889055722389056,0.57888162281023,0.5126793460126794,0.24467118287941814
primary_stratified_384,clinical_radiomics_complete_384,static,T3,T3 (late/pre-surgery),FULL,logistic,subtype,384,,0.5232501836374247,0.2696863032228507,0.2503507295173962,0.6759171477447645
primary_stratified_384,clinical_radiomics_complete_384,static,T3,T3 (late/pre-surgery),FULL,rbf_svm,HER2,384,90.0,0.47116402116402123,0.2216992257596773,0.4687074829931973,0.1827363194954761
primary_stratified_384,clinical_radiomics_complete_384,static,T3,T3 (late/pre-surgery),FULL,rbf_svm,HR,384,222.0,0.5227171616060505,0.5835588261232966,0.5417917917917918,0.2461334453719762
primary_stratified_384,clinical_radiomics_complete_384,static,T3,T3 (late/pre-surgery),FULL,rbf_svm,subtype,384,,0.4943342108066684,0.2522831629877651,0.24263468013468012,0.6770021375137191
primary_stratified_384,clinical_radiomics_complete_384,static,T3,T3 (late/pre-surgery),N,logistic,HER2,384,90.0,0.4902116402116402,0.23507062184089866,0.5048752834467121,0.1803534155555533
primary_stratified_384,clinical_radiomics_complete_384,static,T3,T3 (late/pre-surgery),N,logistic,HR,384,222.0,0.48479034590145703,0.5562944693760021,0.5056723390056723,0.24744023526126432
primary_stratified_384,clinical_radiomics_complete_384,static,T3,T3 (late/pre-surgery),N,logistic,subtype,384,,0.49815821887384976,0.2452468927616265,0.245861391694725,0.6836970776034447
primary_stratified_384,clinical_radiomics_complete_384,static,T3,T3 (late/pre-surgery),N,rbf_svm,HER2,384,90.0,0.4550642479213908,0.21891144869773382,0.4917233560090703,0.1812760911481547
primary_stratified_384,clinical_radiomics_complete_384,static,T3,T3 (late/pre-surgery),N,rbf_svm,HR,384,222.0,0.5024468913357802,0.581758726670561,0.5263596930263597,0.24581956936177382
primary_stratified_384,clinical_radiomics_complete_384,static,T3,T3 (late/pre-surgery),N,rbf_svm,subtype,384,,0.459702535679466,0.23798634122247025,0.24754489337822672,0.6780515357573602
