population,seed,arm,timing,model,clinical_contract,fold,n,n_positive,n_negative,auroc,auprc,balanced_accuracy,brier
ftv_complete_375,2026,LOCAL0,T2,C+F+M,C2_full_with_treatment,0,69,20,49,0.6010204081632653,0.3506690061160647,0.5331632653061225,0.2613522226658641
ftv_complete_375,2026,LOCAL0,T2,C+F+M,C2_full_with_treatment,1,67,20,47,0.6468085106382979,0.520366595493665,0.5617021276595745,0.28823084101360896
ftv_complete_375,2026,LOCAL0,T2,C+F+M,C2_full_with_treatment,2,83,24,59,0.5967514124293785,0.37965039419092433,0.5141242937853108,0.2299226073498339
ftv_complete_375,2026,LOCAL0,T2,C+F+M,C2_full_with_treatment,3,72,23,49,0.6708074534161491,0.5835202837519868,0.629547471162378,0.21227062333465682
ftv_complete_375,2026,LOCAL0,T2,C+F+M,C2_full_with_treatment,4,84,23,61,0.7020669992872416,0.5053825734688099,0.5862437633642196,0.20827727189437198
ftv_complete_375,2026,LOCAL0,T2,C+F+M_residual,C2_full_with_treatment,0,69,20,49,0.6204081632653061,0.3709337713439971,0.5377551020408163,0.2583642338461704
ftv_complete_375,2026,LOCAL0,T2,C+F+M_residual,C2_full_with_treatment,1,67,20,47,0.6595744680851063,0.5300033516271447,0.5867021276595745,0.23878873650688576
ftv_complete_375,2026,LOCAL0,T2,C+F+M_residual,C2_full_with_treatment,2,83,24,59,0.5677966101694916,0.3795378379112791,0.5225988700564972,0.2319353239194497
ftv_complete_375,2026,LOCAL0,T2,C+F+M_residual,C2_full_with_treatment,3,72,23,49,0.6486246672582077,0.5478972906880498,0.6818988464951198,0.219800998671192
ftv_complete_375,2026,LOCAL0,T2,C+F+M_residual,C2_full_with_treatment,4,84,23,61,0.6678545972915182,0.48526485113793305,0.5616535994297933,0.2180713851817273
ftv_complete_375,2026,LOCAL0,T2,C+M,C2_full_with_treatment,0,69,20,49,0.5418367346938775,0.3235936269102224,0.5081632653061224,0.28398102047744317
ftv_complete_375,2026,LOCAL0,T2,C+M,C2_full_with_treatment,1,67,20,47,0.6691489361702128,0.563694045184499,0.6398936170212766,0.21559617545613646
ftv_complete_375,2026,LOCAL0,T2,C+M,C2_full_with_treatment,2,83,24,59,0.5522598870056498,0.36191071194188923,0.5095338983050848,0.2416337020709174
