seed,arm,timing,subgroup,model,n,n_positive,n_negative,auroc,auprc,balanced_accuracy,brier
3026,LOCAL0,T1,HR+/HER2-,remaining_clinical,320,57,263,0.6100326862784337,0.291631127552526,0.5412247348409045,0.1626373292879201
3026,LOCAL0,T1,HR+/HER2-,remaining_clinical+M,320,57,263,0.6376492562203989,0.28996539202971594,0.5814155159762524,0.1752406028108014
3026,LOCAL0,T1,HR-/HER2-,M,287,124,163,0.42479715020779735,0.4042875579614331,0.434914902038393,0.35807211909972536
3026,LOCAL0,T1,HR-/HER2-,remaining_clinical,287,124,163,0.5522461903819513,0.48319100996234143,0.5346576291312092,0.25134402011028373
3026,LOCAL0,T1,HR-/HER2-,remaining_clinical+M,287,124,163,0.4409261824658619,0.4132733664840811,0.4450821294280625,0.32390087046957855
3026,LOCAL0,T2,HER2+,M,201,94,107,0.5401670312189303,0.5088774321727898,0.5484191688208391,0.32043313311097305
3026,LOCAL0,T2,HER2+,remaining_clinical,201,94,107,0.6488864585404652,0.6220341513624427,0.6343209385563731,0.24218554980550253
3026,LOCAL0,T2,HER2+,remaining_clinical+M,201,94,107,0.5883873533505668,0.5469880043739735,0.5656691191091667,0.3034124780557637
3026,LOCAL0,T2,HR+/HER2-,M,320,57,263,0.5207124274564738,0.18138026121472894,0.5008338336335134,0.2475558263115601
3026,LOCAL0,T2,HR+/HER2-,remaining_clinical,320,57,263,0.6100326862784337,0.291631127552526,0.5412247348409045,0.1626373292879201
3026,LOCAL0,T2,HR+/HER2-,remaining_clinical+M,320,57,263,0.5774131145353879,0.22937100540658406,0.5327196317790674,0.22625159239160436
3026,LOCAL0,T2,HR-/HER2-,M,287,124,163,0.4713536512962596,0.4454122740539543,0.46462497526222046,0.329340896313515
3026,LOCAL0,T2,HR-/HER2-,remaining_clinical,287,124,163,0.5522461903819513,0.48319100996234143,0.5346576291312092,0.25134402011028373
3026,LOCAL0,T2,HR-/HER2-,remaining_clinical+M,287,124,163,0.4590837126459529,0.40709590841056675,0.4775133584009499,0.293958698816374
3026,LOCAL0,T3,HER2+,M,201,94,107,0.5734738516603699,0.510281926941011,0.5756611652415987,0.2571838545013666
3026,LOCAL0,T3,HER2+,remaining_clinical,201,94,107,0.6488864585404652,0.6220341513624427,0.6343209385563731,0.24218554980550253
3026,LOCAL0,T3,HER2+,remaining_clinical+M,201,94,107,0.58560349970173,0.5355276097891388,0.5803340624378603,0.3016132105060763
3026,LOCAL0,T3,HR+/HER2-,M,320,57,263,0.5096391168034153,0.17778253577881764,0.4786205056367153,0.23930381154114774
3026,LOCAL0,T3,HR+/HER2-,remaining_clinical,320,57,263,0.6100326862784337,0.291631127552526,0.5412247348409045,0.1626373292879201
3026,LOCAL0,T3,HR+/HER2-,remaining_clinical+M,320,57,263,0.6039623774264559,0.25433207541777436,0.5441264758855313,0.18715096283443416
3026,LOCAL0,T3,HR-/HER2-,M,287,124,163,0.5165248367306551,0.4381249879665961,0.5265931130021769,0.31642578883178285
3026,LOCAL0,T3,HR-/HER2-,remaining_clinical,287,124,163,0.5522461903819513,0.48319100996234143,0.5346576291312092,0.25134402011028373
3026,LOCAL0,T3,HR-/HER2-,remaining_clinical+M,287,124,163,0.48792796358598856,0.43224260652555657,0.47865129625964775,0.30559843764378486
3026,LOCAL3,T0,HER2+,M,201,94,107,0.5546828395307218,0.5424962804583606,0.5411612646649433,0.28180794355998856
3026,LOCAL3,T0,HER2+,remaining_clinical,201,94,107,0.6488864585404652,0.6220341513624427,0.6343209385563731,0.24218554980550253
3026,LOCAL3,T0,HER2+,remaining_clinical+M,201,94,107,0.6458540465301253,0.6227888468453431,0.5850069596341221,0.27708179732684535
3026,LOCAL3,T0,HR+/HER2-,M,320,57,263,0.5684077112934427,0.22737954902096102,0.49529717830698416,0.22109262545230682
3026,LOCAL3,T0,HR+/HER2-,remaining_clinical,320,57,263,0.6100326862784337,0.291631127552526,0.5412247348409045,0.1626373292879201
3026,LOCAL3,T0,HR+/HER2-,remaining_clinical+M,320,57,263,0.6459208858648522,0.2958104864827438,0.6096324461343473,0.1784799295052919
3026,LOCAL3,T0,HR-/HER2-,M,287,124,163,0.4516623787848803,0.4130651336500621,0.44201464476548585,0.34140948186854975
3026,LOCAL3,T0,HR-/HER2-,remaining_clinical,287,124,163,0.5522461903819513,0.48319100996234143,0.5346576291312092,0.25134402011028373
3026,LOCAL3,T0,HR-/HER2-,remaining_clinical+M,287,124,163,0.4571046902830002,0.4362602939867427,0.46462497526222046,0.2889973894747911
3026,LOCAL3,T1,HER2+,M,201,94,107,0.5743686617617817,0.5455408703156774,0.5730761582819646,0.2663113788672144
3026,LOCAL3,T1,HER2+,remaining_clinical,201,94,107,0.6488864585404652,0.6220341513624427,0.6343209385563731,0.24218554980550253
3026,LOCAL3,T1,HER2+,remaining_clinical+M,201,94,107,0.6351163253131835,0.6027009268387926,0.5916186120501093,0.27585570853971436
3026,LOCAL3,T1,HR+/HER2-,M,320,57,263,0.5469281568941364,0.20147084829197082,0.5277499833233273,0.2225192502640218
3026,LOCAL3,T1,HR+/HER2-,remaining_clinical,320,57,263,0.6100326862784337,0.291631127552526,0.5412247348409045,0.1626373292879201
3026,LOCAL3,T1,HR+/HER2-,remaining_clinical+M,320,57,263,0.6336468547795343,0.2498548155905624,0.5505636715362551,0.19552526855227667
3026,LOCAL3,T1,HR-/HER2-,M,287,124,163,0.43216900850979617,0.4135249057079695,0.43894716010290913,0.3336615535568198
3026,LOCAL3,T1,HR-/HER2-,remaining_clinical,287,124,163,0.5522461903819513,0.48319100996234143,0.5346576291312092,0.25134402011028373
3026,LOCAL3,T1,HR-/HER2-,remaining_clinical+M,287,124,163,0.44344943597862657,0.4106640831862332,0.4633138729467643,0.32376159970041923
3026,LOCAL3,T2,HER2+,M,201,94,107,0.5844104195665142,0.5422586339108627,0.580980314177769,0.3063824366592219
3026,LOCAL3,T2,HER2+,remaining_clinical,201,94,107,0.6488864585404652,0.6220341513624427,0.6343209385563731,0.24218554980550253
3026,LOCAL3,T2,HER2+,remaining_clinical+M,201,94,107,0.6005170013919269,0.5599520909628901,0.5803340624378603,0.296893880279488
3026,LOCAL3,T2,HR+/HER2-,M,320,57,263,0.5262490827830032,0.1845662192168941,0.5084383963711561,0.2538883409439691
3026,LOCAL3,T2,HR+/HER2-,remaining_clinical,320,57,263,0.6100326862784337,0.291631127552526,0.5412247348409045,0.1626373292879201
3026,LOCAL3,T2,HR+/HER2-,remaining_clinical+M,320,57,263,0.5727436461877127,0.21719151757435995,0.535788139550397,0.22462032205758148
3026,LOCAL3,T2,HR-/HER2-,M,287,124,163,0.4835246388284188,0.4478596345823669,0.49092123490995454,0.32483443739526335
3026,LOCAL3,T2,HR-/HER2-,remaining_clinical,287,124,163,0.5522461903819513,0.48319100996234143,0.5346576291312092,0.25134402011028373
3026,LOCAL3,T2,HR-/HER2-,remaining_clinical+M,287,124,163,0.5033643380170196,0.46200857056674993,0.48575103898674055,0.3284260903453507
3026,LOCAL3,T3,HER2+,M,201,94,107,0.5528932193278981,0.5029734037796378,0.5550308212368265,0.31360416495398
3026,LOCAL3,T3,HER2+,remaining_clinical,201,94,107,0.6488864585404652,0.6220341513624427,0.6343209385563731,0.24218554980550253
3026,LOCAL3,T3,HER2+,remaining_clinical+M,201,94,107,0.5869954265261483,0.532867771023342,0.5816265659176775,0.2965990255733738
3026,LOCAL3,T3,HR+/HER2-,M,320,57,263,0.4990994596758055,0.1719650808095369,0.49076112334067107,0.2343217668699947
3026,LOCAL3,T3,HR+/HER2-,remaining_clinical,320,57,263,0.6100326862784337,0.291631127552526,0.5412247348409045,0.1626373292879201
3026,LOCAL3,T3,HR+/HER2-,remaining_clinical+M,320,57,263,0.6314455339870588,0.2889593904939905,0.6069975318524448,0.1919546703486971
3026,LOCAL3,T3,HR-/HER2-,M,287,124,163,0.5380961804868395,0.47293071613775306,0.5293142687512369,0.3176162526737154
3026,LOCAL3,T3,HR-/HER2-,remaining_clinical,287,124,163,0.5522461903819513,0.48319100996234143,0.5346576291312092,0.25134402011028373
3026,LOCAL3,T3,HR-/HER2-,remaining_clinical+M,287,124,163,0.5113299030279042,0.457010298148704,0.4960914308331684,0.3130632122674868
