population,seed,arm,timing,model,clinical_contract,n,n_positive,n_negative,auroc,auprc,balanced_accuracy,brier
ftv_complete_375,3026,LOCAL3,T3,F,C2_full_with_treatment,375,110,265,0.6913207547169811,0.4682411335811604,0.5337907375643225,0.18794318580344452
ftv_complete_375,3026,LOCAL3,T3,M,C2_full_with_treatment,375,110,265,0.5625042881646656,0.34598356611223746,0.5305317324185248,0.2818583157905828
ftv_complete_375,3026,LOCAL3,T3,M_residual,C2_full_with_treatment,375,110,265,0.5493653516295026,0.32174757098093154,0.5393653516295025,0.26799713012016724
full_808,2026,LOCAL0,T0,C,C2_full_with_treatment,808,275,533,0.6796145318096538,0.5424197284072237,0.64536926488146,0.22583847913185245
full_808,2026,LOCAL0,T0,C+M,C2_full_with_treatment,808,275,533,0.6751492410028995,0.49028666974244767,0.6267235203820569,0.22089239190996077
full_808,2026,LOCAL0,T0,C+M_error_correction,C2_full_with_treatment,808,275,533,0.6123759167661607,0.47821949253769064,0.5558519529251237,0.21603503889130948
full_808,2026,LOCAL0,T0,M,C2_full_with_treatment,808,275,533,0.5062118369435442,0.35452849617507326,0.4999931775541532,0.2780097106951712
full_808,2026,LOCAL0,T1,C,C2_full_with_treatment,808,275,533,0.6796145318096538,0.5424197284072237,0.64536926488146,0.22583847913185245
full_808,2026,LOCAL0,T1,C+M,C2_full_with_treatment,808,275,533,0.6862357155040082,0.4969747691732148,0.6195087838990279,0.2121982777506467
full_808,2026,LOCAL0,T1,C+M_error_correction,C2_full_with_treatment,808,275,533,0.6244311785775201,0.483262268497759,0.5667610438342146,0.2140024270509959
full_808,2026,LOCAL0,T1,M,C2_full_with_treatment,808,275,533,0.5410131332082552,0.3874599093620804,0.5117141395190176,0.25445453013438124
full_808,2026,LOCAL0,T2,C,C2_full_with_treatment,808,275,533,0.6796145318096538,0.5424197284072237,0.64536926488146,0.22583847913185245
full_808,2026,LOCAL0,T2,C+M,C2_full_with_treatment,808,275,533,0.6620910796520553,0.4852085413461796,0.6246153846153846,0.2247553200978408
full_808,2026,LOCAL0,T2,C+M_error_correction,C2_full_with_treatment,808,275,533,0.6207879924953096,0.4769700576026514,0.5651850588435954,0.21960325380484097
full_808,2026,LOCAL0,T2,M,C2_full_with_treatment,808,275,533,0.5307453522087668,0.3729294131836608,0.5221593041105236,0.2859429657682377
full_808,2026,LOCAL0,T3,C,C2_full_with_treatment,808,275,533,0.6796145318096538,0.5424197284072237,0.64536926488146,0.22583847913185245
full_808,2026,LOCAL0,T3,C+M,C2_full_with_treatment,808,275,533,0.6633736994712606,0.47457794532083025,0.6008630393996248,0.23066741880125122
full_808,2026,LOCAL0,T3,C+M_error_correction,C2_full_with_treatment,808,275,533,0.6263346409687872,0.49698974465706236,0.5627767354596622,0.21427681041024144
full_808,2026,LOCAL0,T3,M,C2_full_with_treatment,808,275,533,0.5458775370970492,0.37268564371412644,0.5255637045880949,0.26110818380815326
full_808,2026,LOCAL3,T0,C,C2_full_with_treatment,808,275,533,0.6796145318096538,0.5424197284072237,0.64536926488146,0.22583847913185245
full_808,2026,LOCAL3,T0,C+M,C2_full_with_treatment,808,275,533,0.6823264540337711,0.5037571895562248,0.6169264881460004,0.214277061178407
full_808,2026,LOCAL3,T0,C+M_error_correction,C2_full_with_treatment,808,275,533,0.6113798396725225,0.47823300376263866,0.5652328159645233,0.2151941966114087
full_808,2026,LOCAL3,T0,M,C2_full_with_treatment,808,275,533,0.5211734606856558,0.3549562201221319,0.504741599863551,0.2699949348433606
full_808,2026,LOCAL3,T1,C,C2_full_with_treatment,808,275,533,0.6796145318096538,0.5424197284072237,0.64536926488146,0.22583847913185245
full_808,2026,LOCAL3,T1,C+M,C2_full_with_treatment,808,275,533,0.6887600204673375,0.4991452699533665,0.6314139519017568,0.21159511065187667
full_808,2026,LOCAL3,T1,C+M_error_correction,C2_full_with_treatment,808,275,533,0.6175063960429814,0.480030813683629,0.5695753027460344,0.21476422181359953
full_808,2026,LOCAL3,T1,M,C2_full_with_treatment,808,275,533,0.5299607709363807,0.3611126560022133,0.5066757632611292,0.26685115491295197
full_808,2026,LOCAL3,T2,C,C2_full_with_treatment,808,275,533,0.6796145318096538,0.5424197284072237,0.64536926488146,0.22583847913185245
full_808,2026,LOCAL3,T2,C+M,C2_full_with_treatment,808,275,533,0.6721678321678323,0.5000077170332358,0.6303018932287225,0.2185433718009897
full_808,2026,LOCAL3,T2,C+M_error_correction,C2_full_with_treatment,808,275,533,0.6244004775712093,0.4763337278484474,0.5772641992154187,0.21892467880350486
full_808,2026,LOCAL3,T2,M,C2_full_with_treatment,808,275,533,0.5265154357837284,0.36077267680921116,0.5140167149923247,0.29002865741890077
full_808,2026,LOCAL3,T3,C,C2_full_with_treatment,808,275,533,0.6796145318096538,0.5424197284072237,0.64536926488146,0.22583847913185245
full_808,2026,LOCAL3,T3,C+M,C2_full_with_treatment,808,275,533,0.6785536414804707,0.5167373671200775,0.6115981579396214,0.21594121111811454
