seed_base,fold,task,endpoint,target_semantics,metric,L3_minus_L1,N3_minus_N1,N1_minus_L1,difference_in_differences
2026,1,delta,T0→T1,literal_ftv_end_minus_ftv_start,pearson,-0.027590113073665823,0.248646838833574,-0.42034335464201034,0.27623695190723985
2026,1,delta,T1→T2,literal_ftv_end_minus_ftv_start,pearson,0.13431842398686517,0.2556481130913316,-0.12505022244458622,0.12132968910446645
2026,1,delta,T2→T3,literal_ftv_end_minus_ftv_start,pearson,0.040916123089276335,0.1469959021241228,-0.519255872590572,0.10607977903484647
2026,1,delta,macro,literal_ftv_end_minus_ftv_start,pearson,0.049214811334158615,0.21709695134967602,-0.3548831498923894,0.1678821400155174
2026,1,static,T0,static_ftv_log_winsor_median_iqr_inverse_natural,pearson,0.022979207962376513,0.051773166501029366,-0.25345911206775573,0.028793958538652853
2026,1,static,T1,static_ftv_log_winsor_median_iqr_inverse_natural,pearson,0.06176653181188663,-0.05406495207045531,-0.08959980752604646,-0.11583148388234193
2026,1,static,T2,static_ftv_log_winsor_median_iqr_inverse_natural,pearson,0.12876829945879753,-0.1083575067733083,-0.16858308849837017,-0.23712580623210583
2026,1,static,T3,static_ftv_log_winsor_median_iqr_inverse_natural,pearson,-0.07311279082693539,0.10994277341264021,-0.41009213618090307,0.18305556423957559
2026,1,static,macro,static_ftv_log_winsor_median_iqr_inverse_natural,pearson,0.03510031210153142,-0.00017662973252358105,-0.23043353606826877,-0.035276941834055
2026,2,delta,T0→T1,literal_ftv_end_minus_ftv_start,pearson,0.1539567742890209,0.017972766409341402,-0.0271663765630155,-0.1359840078796795
2026,2,delta,T1→T2,literal_ftv_end_minus_ftv_start,pearson,0.009628034586970702,0.0831872663450616,-0.10635440691058959,0.0735592317580909
2026,2,delta,T2→T3,literal_ftv_end_minus_ftv_start,pearson,-0.0450506091737895,0.06803770802524291,-0.1295685111616574,0.11308831719903241
2026,2,delta,macro,literal_ftv_end_minus_ftv_start,pearson,0.03951139990073399,0.0563992469265486,-0.0876964315450875,0.016887847025814612
2026,2,static,T0,static_ftv_log_winsor_median_iqr_inverse_natural,pearson,0.10015036535475774,0.02274935658940097,-0.07784064813876745,-0.07740100876535677
2026,2,static,T1,static_ftv_log_winsor_median_iqr_inverse_natural,pearson,0.19914291941572332,0.07712184937859978,0.00030112407801219376,-0.12202107003712354
2026,2,static,T2,static_ftv_log_winsor_median_iqr_inverse_natural,pearson,0.07411366561101859,0.06014255810864472,-0.002894791954175413,-0.013971107502373875
2026,2,static,T3,static_ftv_log_winsor_median_iqr_inverse_natural,pearson,0.1883924170116278,0.027027323164882402,-0.6843899352404954,-0.16136509384674538
2026,2,static,macro,static_ftv_log_winsor_median_iqr_inverse_natural,pearson,0.14044984184828185,0.046760271810382004,-0.19120606281385652,-0.09368957003789985
2026,3,delta,T0→T1,literal_ftv_end_minus_ftv_start,pearson,-0.0633695362255868,0.016506289845752475,-0.3565595161864764,0.07987582607133928
2026,3,delta,T1→T2,literal_ftv_end_minus_ftv_start,pearson,0.27310064207374773,0.1322295339239502,0.2697607720979713,-0.14087110814979753
2026,3,delta,T2→T3,literal_ftv_end_minus_ftv_start,pearson,0.1811898310802513,-0.0264676264160065,0.0126602938322747,-0.2076574574962578
2026,3,delta,macro,literal_ftv_end_minus_ftv_start,pearson,0.1303069789761375,0.04075606578456541,-0.024712816752076802,-0.08955091319157209
2026,3,static,T0,static_ftv_log_winsor_median_iqr_inverse_natural,pearson,0.06539273414942781,0.09373257837884777,-0.009520250440920086,0.028339844229419958
2026,3,static,T1,static_ftv_log_winsor_median_iqr_inverse_natural,pearson,-0.22457611286417567,0.07872655044114973,-0.29556055335659137,0.3033026633053254
2026,3,static,T2,static_ftv_log_winsor_median_iqr_inverse_natural,pearson,0.267316497537212,0.012920875878177002,-0.6084035304294344,-0.25439562165903495
