audit_condition,decision_point,fold,metric,native,comparison,absolute_difference,relative_difference,relative_percentage_difference,relative_defined,difference_direction,n_paired_patients
repeated_t0_c1_mri_only,T0-T2,3,accuracy,0.7204968944099379,0.7204968944099379,0.0,0.0,0.0,True,comparison - native,161
repeated_t0_c1_mri_only,T0-T2,3,sensitivity,0.5818181818181818,0.5818181818181818,0.0,0.0,0.0,True,comparison - native,161
repeated_t0_c1_mri_only,T0-T2,3,specificity,0.7924528301886793,0.7924528301886793,0.0,0.0,0.0,True,comparison - native,161
repeated_t0_c1_mri_only,T0-T2,4,auroc,0.8003430531732418,0.8003430531732418,0.0,0.0,0.0,True,comparison - native,161
repeated_t0_c1_mri_only,T0-T2,4,auprc,0.6627013396897778,0.6627013396897778,0.0,0.0,0.0,True,comparison - native,161
repeated_t0_c1_mri_only,T0-T2,4,accuracy,0.7267080745341615,0.7267080745341615,0.0,0.0,0.0,True,comparison - native,161
repeated_t0_c1_mri_only,T0-T2,4,sensitivity,0.7454545454545455,0.7454545454545455,0.0,0.0,0.0,True,comparison - native,161
repeated_t0_c1_mri_only,T0-T2,4,specificity,0.7169811320754716,0.7169811320754716,0.0,0.0,0.0,True,comparison - native,161
repeated_t0_c2_full_image_derived,T0,0,auroc,0.7364485981308412,0.7364485981308412,0.0,0.0,0.0,True,comparison - native,162
repeated_t0_c2_full_image_derived,T0,0,auprc,0.646462538438846,0.646462538438846,0.0,0.0,0.0,True,comparison - native,162
repeated_t0_c2_full_image_derived,T0,0,accuracy,0.5925925925925926,0.5925925925925926,0.0,0.0,0.0,True,comparison - native,162
repeated_t0_c2_full_image_derived,T0,0,sensitivity,0.7636363636363637,0.7636363636363637,0.0,0.0,0.0,True,comparison - native,162
repeated_t0_c2_full_image_derived,T0,0,specificity,0.5046728971962616,0.5046728971962616,0.0,0.0,0.0,True,comparison - native,162
repeated_t0_c2_full_image_derived,T0,1,auroc,0.6853016142735769,0.6853016142735769,0.0,0.0,0.0,True,comparison - native,162
repeated_t0_c2_full_image_derived,T0,1,auprc,0.5649473293218674,0.5649473293218674,0.0,0.0,0.0,True,comparison - native,162
repeated_t0_c2_full_image_derived,T0,1,accuracy,0.6851851851851852,0.6851851851851852,0.0,0.0,0.0,True,comparison - native,162
repeated_t0_c2_full_image_derived,T0,1,sensitivity,0.38181818181818183,0.38181818181818183,0.0,0.0,0.0,True,comparison - native,162
repeated_t0_c2_full_image_derived,T0,1,specificity,0.8411214953271028,0.8411214953271028,0.0,0.0,0.0,True,comparison - native,162
repeated_t0_c2_full_image_derived,T0,2,auroc,0.7191163976210706,0.7191163976210706,0.0,0.0,0.0,True,comparison - native,162
repeated_t0_c2_full_image_derived,T0,2,auprc,0.5334129103583285,0.5334129103583285,0.0,0.0,0.0,True,comparison - native,162
repeated_t0_c2_full_image_derived,T0,2,accuracy,0.6728395061728395,0.6728395061728395,0.0,0.0,0.0,True,comparison - native,162
repeated_t0_c2_full_image_derived,T0,2,sensitivity,0.4909090909090909,0.4909090909090909,0.0,0.0,0.0,True,comparison - native,162
repeated_t0_c2_full_image_derived,T0,2,specificity,0.7663551401869159,0.7663551401869159,0.0,0.0,0.0,True,comparison - native,162
repeated_t0_c2_full_image_derived,T0,3,auroc,0.7180102915951972,0.7180102915951972,0.0,0.0,0.0,True,comparison - native,161
repeated_t0_c2_full_image_derived,T0,3,auprc,0.5869337567209492,0.5869337567209492,0.0,0.0,0.0,True,comparison - native,161
repeated_t0_c2_full_image_derived,T0,3,accuracy,0.7267080745341615,0.7267080745341615,0.0,0.0,0.0,True,comparison - native,161
repeated_t0_c2_full_image_derived,T0,3,sensitivity,0.509090909090909,0.509090909090909,0.0,0.0,0.0,True,comparison - native,161
repeated_t0_c2_full_image_derived,T0,3,specificity,0.839622641509434,0.839622641509434,0.0,0.0,0.0,True,comparison - native,161
repeated_t0_c2_full_image_derived,T0,4,auroc,0.7780445969125215,0.7780445969125215,0.0,0.0,0.0,True,comparison - native,161
repeated_t0_c2_full_image_derived,T0,4,auprc,0.6512363711225522,0.6512363711225522,0.0,0.0,0.0,True,comparison - native,161
repeated_t0_c2_full_image_derived,T0,4,accuracy,0.7329192546583851,0.7329192546583851,0.0,0.0,0.0,True,comparison - native,161
repeated_t0_c2_full_image_derived,T0,4,sensitivity,0.6909090909090909,0.6909090909090909,0.0,0.0,0.0,True,comparison - native,161
repeated_t0_c2_full_image_derived,T0,4,specificity,0.7547169811320755,0.7547169811320755,0.0,0.0,0.0,True,comparison - native,161
repeated_t0_c2_full_image_derived,T0-T1,0,auroc,0.7767204757858963,0.7473237043330502,-0.029396771452846138,-0.03784729818420467,-3.7847298184204665,True,comparison - native,162
repeated_t0_c2_full_image_derived,T0-T1,0,auprc,0.660889083213823,0.6587722960944977,-0.0021167871193252807,-0.0032029385461045945,-0.32029385461045945,True,comparison - native,162
repeated_t0_c2_full_image_derived,T0-T1,0,accuracy,0.7530864197530864,0.7530864197530864,0.0,0.0,0.0,True,comparison - native,162
repeated_t0_c2_full_image_derived,T0-T1,0,sensitivity,0.6363636363636364,0.4909090909090909,-0.14545454545454545,-0.22857142857142856,-22.857142857142858,True,comparison - native,162
repeated_t0_c2_full_image_derived,T0-T1,0,specificity,0.8130841121495327,0.8878504672897196,0.07476635514018692,0.09195402298850576,9.195402298850576,True,comparison - native,162
repeated_t0_c2_full_image_derived,T0-T1,1,auroc,0.6842820730671199,0.6813933729821581,-0.0028887000849617817,-0.004221504842314399,-0.42215048423143986,True,comparison - native,162
repeated_t0_c2_full_image_derived,T0-T1,1,auprc,0.5609339063153655,0.5502317204204801,-0.010702185894885474,-0.019079228005997095,-1.9079228005997095,True,comparison - native,162
repeated_t0_c2_full_image_derived,T0-T1,1,accuracy,0.6234567901234568,0.6604938271604939,0.03703703703703709,0.05940594059405949,5.940594059405949,True,comparison - native,162
repeated_t0_c2_full_image_derived,T0-T1,1,sensitivity,0.6363636363636364,0.4,-0.23636363636363633,-0.3714285714285714,-37.14285714285714,True,comparison - native,162
repeated_t0_c2_full_image_derived,T0-T1,1,specificity,0.616822429906542,0.794392523364486,0.17757009345794394,0.28787878787878796,28.787878787878796,True,comparison - native,162
repeated_t0_c2_full_image_derived,T0-T1,2,auroc,0.7840271877655055,0.7157179269328803,-0.06830926083262523,-0.0871261378413523,-8.71261378413523,True,comparison - native,162
repeated_t0_c2_full_image_derived,T0-T1,2,auprc,0.6361400919735195,0.5434446801632421,-0.0926954118102774,-0.1457154060557718,-14.57154060557718,True,comparison - native,162
repeated_t0_c2_full_image_derived,T0-T1,2,accuracy,0.7469135802469136,0.6728395061728395,-0.07407407407407407,-0.09917355371900827,-9.917355371900827,True,comparison - native,162
repeated_t0_c2_full_image_derived,T0-T1,2,sensitivity,0.7636363636363637,0.41818181818181815,-0.3454545454545455,-0.45238095238095244,-45.23809523809524,True,comparison - native,162
