population,seed,arm,fold,timing,raw_input_dim,train_rows,fit_scope,validation_rows_in_fit,test_rows_in_fit,fitted_transform_sha256,dimension,input_dim,max_components,component_explained_variance_ratio,incremental_explained_variance_ratio,cumulative_explained_variance_ratio
ftv_complete_375,2026,LOCAL0,2,T0,192,240,outer_train_timing_prefix,0,0,45856b9902999704aba01d62b3471e54911be063cfc0d168bb78fc1e73dba587,64,192,64,5.2185352385779095e-05,0.004522711625023182,0.9991256173487556
ftv_complete_375,2026,LOCAL0,2,T1,384,240,outer_train_timing_prefix,0,0,64f32aaa1ca854f95fb71c25e37724a9c3c90a3dbcd19fed902ffc6d13ca410b,8,384,64,0.018089639594947356,0.9141491241276246,0.9141491241276247
ftv_complete_375,2026,LOCAL0,2,T1,384,240,outer_train_timing_prefix,0,0,64f32aaa1ca854f95fb71c25e37724a9c3c90a3dbcd19fed902ffc6d13ca410b,16,384,64,0.003267005138006233,0.049190455968542296,0.9633395800961669
ftv_complete_375,2026,LOCAL0,2,T1,384,240,outer_train_timing_prefix,0,0,64f32aaa1ca854f95fb71c25e37724a9c3c90a3dbcd19fed902ffc6d13ca410b,32,384,64,0.0006929919154371991,0.02273641800465271,0.9860759981008197
ftv_complete_375,2026,LOCAL0,2,T1,384,240,outer_train_timing_prefix,0,0,64f32aaa1ca854f95fb71c25e37724a9c3c90a3dbcd19fed902ffc6d13ca410b,64,384,64,0.00014386015242026567,0.010033283251869975,0.9961092813526896
ftv_complete_375,2026,LOCAL0,2,T2,576,240,outer_train_timing_prefix,0,0,b184ab95ecfb85a7a654ca90ed34dc8baefbe5db3a3be30d671a729756dc0094,8,576,64,0.023127925511799638,0.8595747238424822,0.8595747238424821
ftv_complete_375,2026,LOCAL0,2,T2,576,240,outer_train_timing_prefix,0,0,b184ab95ecfb85a7a654ca90ed34dc8baefbe5db3a3be30d671a729756dc0094,16,576,64,0.004657278189531921,0.08493591755255167,0.9445106413950338
ftv_complete_375,2026,LOCAL0,2,T2,576,240,outer_train_timing_prefix,0,0,b184ab95ecfb85a7a654ca90ed34dc8baefbe5db3a3be30d671a729756dc0094,32,576,64,0.0010009983790407464,0.03342350912075119,0.977934150515785
ftv_complete_375,2026,LOCAL0,2,T2,576,240,outer_train_timing_prefix,0,0,b184ab95ecfb85a7a654ca90ed34dc8baefbe5db3a3be30d671a729756dc0094,64,576,64,0.0002180057302812413,0.014997004115165802,0.9929311546309506
ftv_complete_375,2026,LOCAL0,2,T3,768,240,outer_train_timing_prefix,0,0,cfe94e2582bf616300d8a51030216dd074220021e84a2efc588a67b29fc5f383,8,768,64,0.024254746542103238,0.8179735380893226,0.8179735380893227
ftv_complete_375,2026,LOCAL0,2,T3,768,240,outer_train_timing_prefix,0,0,cfe94e2582bf616300d8a51030216dd074220021e84a2efc588a67b29fc5f383,16,768,64,0.005670937455346929,0.10830622484412665,0.9262797629334494
ftv_complete_375,2026,LOCAL0,2,T3,768,240,outer_train_timing_prefix,0,0,cfe94e2582bf616300d8a51030216dd074220021e84a2efc588a67b29fc5f383,32,768,64,0.0013437498123545675,0.04364920799007996,0.9699289709235293
ftv_complete_375,2026,LOCAL0,2,T3,768,240,outer_train_timing_prefix,0,0,cfe94e2582bf616300d8a51030216dd074220021e84a2efc588a67b29fc5f383,64,768,64,0.00030767290374195756,0.01985178432030052,0.9897807552438298
full_808,2026,LOCAL0,3,T0,192,526,outer_train_timing_prefix,0,0,76d0dedf698a9d2eb288eebbe6e13d28a997ec9fc17f30df48a6aa2abd43bb3c,8,192,64,0.007216488077289436,0.9558623369254589,0.9558623369254589
full_808,2026,LOCAL0,3,T0,192,526,outer_train_timing_prefix,0,0,76d0dedf698a9d2eb288eebbe6e13d28a997ec9fc17f30df48a6aa2abd43bb3c,16,192,64,0.001934293996005169,0.027647114973350206,0.9835094518988091
full_808,2026,LOCAL0,3,T0,192,526,outer_train_timing_prefix,0,0,76d0dedf698a9d2eb288eebbe6e13d28a997ec9fc17f30df48a6aa2abd43bb3c,32,192,64,0.0003086960581760935,0.011078842722175034,0.9945882946209842
full_808,2026,LOCAL0,3,T0,192,526,outer_train_timing_prefix,0,0,76d0dedf698a9d2eb288eebbe6e13d28a997ec9fc17f30df48a6aa2abd43bb3c,64,192,64,5.689672223410464e-05,0.004338512004369486,0.9989268066253536
full_808,2026,LOCAL0,3,T1,384,526,outer_train_timing_prefix,0,0,98d0d53733c815cae4a779ae95286047e819a9364ad80cb7fd6de350084d0dec,8,384,64,0.013046641162124338,0.9138183738435108,0.9138183738435108
full_808,2026,LOCAL0,3,T1,384,526,outer_train_timing_prefix,0,0,98d0d53733c815cae4a779ae95286047e819a9364ad80cb7fd6de350084d0dec,16,384,64,0.003321158685764989,0.04691935815750969,0.9607377320010205
full_808,2026,LOCAL0,3,T1,384,526,outer_train_timing_prefix,0,0,98d0d53733c815cae4a779ae95286047e819a9364ad80cb7fd6de350084d0dec,32,384,64,0.0007782526653583315,0.024139206710407222,0.9848769387114277
full_808,2026,LOCAL0,3,T1,384,526,outer_train_timing_prefix,0,0,98d0d53733c815cae4a779ae95286047e819a9364ad80cb7fd6de350084d0dec,64,384,64,0.00014226931573964972,0.010287879867773752,0.9951648185792016
full_808,2026,LOCAL0,3,T2,576,526,outer_train_timing_prefix,0,0,dbbbef8d612f219d009904c93305ff34dfc1265dd9e6dc05258bd014e2730f73,8,576,64,0.018514406191058784,0.8693352508740102,0.8693352508740102
full_808,2026,LOCAL0,3,T2,576,526,outer_train_timing_prefix,0,0,dbbbef8d612f219d009904c93305ff34dfc1265dd9e6dc05258bd014e2730f73,16,576,64,0.004806676291951906,0.07248671652797886,0.9418219674019891
full_808,2026,LOCAL0,3,T2,576,526,outer_train_timing_prefix,0,0,dbbbef8d612f219d009904c93305ff34dfc1265dd9e6dc05258bd014e2730f73,32,576,64,0.0010975406574701852,0.03312702723455653,0.9749489946365455
full_808,2026,LOCAL0,3,T2,576,526,outer_train_timing_prefix,0,0,dbbbef8d612f219d009904c93305ff34dfc1265dd9e6dc05258bd014e2730f73,64,576,64,0.00022196404117552092,0.01638095899997913,0.9913299536365247
full_808,2026,LOCAL0,3,T3,768,526,outer_train_timing_prefix,0,0,c39bc67bb5667b3871c75df15e90c1f5345fcc7c36eaa7f1ee0d8f40d344ec2c,8,768,64,0.023025199571680092,0.8287779372795836,0.8287779372795837
full_808,2026,LOCAL0,3,T3,768,526,outer_train_timing_prefix,0,0,c39bc67bb5667b3871c75df15e90c1f5345fcc7c36eaa7f1ee0d8f40d344ec2c,16,768,64,0.005401187282959107,0.09468774231410898,0.9234656795936926
full_808,2026,LOCAL0,3,T3,768,526,outer_train_timing_prefix,0,0,c39bc67bb5667b3871c75df15e90c1f5345fcc7c36eaa7f1ee0d8f40d344ec2c,32,768,64,0.0013192620006253475,0.0427593351276295,0.9662250147213222
full_808,2026,LOCAL0,3,T3,768,526,outer_train_timing_prefix,0,0,c39bc67bb5667b3871c75df15e90c1f5345fcc7c36eaa7f1ee0d8f40d344ec2c,64,768,64,0.000333527873637315,0.021032888844834865,0.9872579035661568
