population,seed,arm,fold,timing,model_family,representation,dimension,raw_input_dim,feature_dim,train_rows,validation_rows,selected_C,validation_selection_auroc,train_auroc,validation_auroc,test_auroc,train_auprc,validation_auprc,test_auprc,train_brier,validation_brier,test_brier,train_test_auroc_gap
full_808,2026,LOCAL0,0,T1,M,pca,16,384,16,525,121,1.0,0.5283303194695599,0.6332286371142699,0.5283303194695599,0.5476635514018692,0.44781171566827827,0.4606639781035273,0.3981249458253386,0.2146138857821548,0.2280102409029365,0.22680161641122729,0.08556508571240073
full_808,2026,LOCAL0,0,T1,C+M,pca,16,384,50,525,121,0.0001,0.7365883062085594,0.7830035942104069,0.7365883062085594,0.7070518266779949,0.693426522722612,0.5648480669654964,0.5181834011792033,0.2474625039699501,0.2479360088267465,0.2480388252510936,0.07595176753241195
full_808,2026,LOCAL0,0,T1,M,pca,32,384,32,525,121,0.1,0.6021699819168174,0.6828028365119969,0.6021699819168174,0.5743415463041631,0.5191163248971863,0.4612676397696525,0.4016013077252687,0.20458697358275993,0.22375283278988856,0.22990861456772738,0.1084612902078338
full_808,2026,LOCAL0,0,T1,C+M,pca,32,384,66,525,121,0.0001,0.7338758288125377,0.8017193925460608,0.7338758288125377,0.7165675446049278,0.715258920751686,0.574505495260495,0.5160852544335828,0.2472210373816951,0.24777527187110288,0.24794592260454273,0.08515184794113306
full_808,2026,LOCAL0,0,T1,M,pca,64,384,64,525,121,0.01,0.6006630500301386,0.736408380014895,0.6006630500301386,0.5675446049277825,0.6122273940164918,0.44995640854766794,0.38859957673673107,0.19999741441267543,0.22846056431235748,0.23370621842019204,0.16886377508711248
full_808,2026,LOCAL0,0,T1,C+M,pca,64,384,98,525,121,0.0001,0.7194092827004219,0.836609137713305,0.7194092827004219,0.7024638912489379,0.7603435528278238,0.5566760698340235,0.4929196095323163,0.2467872247928632,0.247711883348375,0.24794619106726323,0.1341452464643671
full_808,2026,LOCAL0,0,T1,M,random_projection,16,384,16,525,121,0.1,0.5488245931283906,0.619871774115209,0.5488245931283906,0.5655055225148683,0.4331619254023082,0.4030899052421172,0.4139578899485864,0.21726653816515507,0.22639296682326407,0.2209867108319344,0.0543662516003407
full_808,2026,LOCAL0,0,T1,C+M,random_projection,16,384,50,525,121,0.001,0.713381555153707,0.7732409416183661,0.713381555153707,0.7313508920985556,0.6844389837126575,0.5405653407118706,0.537889241987071,0.23037146027321365,0.2342531656998811,0.23316936932592658,0.04189004951981046
full_808,2026,LOCAL0,0,T1,M,random_projection,32,384,32,525,121,1.0,0.51416515973478,0.6607032995499142,0.51416515973478,0.5197960917587086,0.51646292725602,0.4235579241643138,0.3829097003311355,0.20652051058435647,0.23343195814968629,0.23773608639469468,0.1409072077912057
full_808,2026,LOCAL0,0,T1,C+M,random_projection,32,384,66,525,121,0.01,0.7103676913803496,0.7876501635203833,0.7103676913803496,0.7250637213254035,0.705937388687308,0.5375927858645473,0.5432008141318878,0.1842472717998678,0.2056466857375356,0.20123513334299586,0.06258644219497977
full_808,2026,LOCAL0,0,T2,C,none,-1,576,34,525,121,0.0001,0.7399035563592526,0.7624502153288217,0.7399035563592526,0.7143585386576041,0.662999998797933,0.5553606111359187,0.5156486532448497,0.24771109882583395,0.24801394220002226,0.24812345121326743,0.04809167667121761
full_808,2026,LOCAL0,0,T2,M,raw,576,576,576,525,121,0.1,0.6648583484026522,0.8598581744001554,0.6648583484026522,0.5602378929481734,0.7758206272842512,0.5148116305480117,0.37327899398562475,0.14820938290513558,0.21741159226292206,0.25163024594684946,0.29962028145198205
full_808,2026,LOCAL0,0,T2,C+M,raw,576,576,610,525,121,0.1,0.7516576250753466,0.9257034614512839,0.7516576250753466,0.6985556499575192,0.8928487938174289,0.5992400281618854,0.47266851874057186,0.10740221313276536,0.20442599944683548,0.23165227482113973,0.22714781149376473
full_808,2026,LOCAL0,0,T2,M,pca,8,576,8,525,121,0.1,0.5871006630500301,0.6074377489233559,0.5871006630500301,0.574001699235344,0.4225039001713727,0.4359429007875849,0.3984116341705927,0.21848586094421746,0.22192394497776055,0.22152653845056486,0.03343604968801184
full_808,2026,LOCAL0,0,T2,C+M,pca,8,576,42,525,121,0.001,0.7350813743218807,0.7748113849043163,0.7350813743218807,0.7191163976210705,0.6882209268446463,0.5679264018744908,0.5290868355560816,0.23027536439625032,0.23325746576374853,0.2340284632376657,0.055694987283245845
full_808,2026,LOCAL0,0,T2,M,pca,16,576,16,525,121,0.1,0.5852923447860157,0.6335848201275783,0.5852923447860157,0.5333899745114699,0.4568616423795442,0.45395668500548325,0.35041255324879095,0.21424869496918367,0.22122497939654331,0.2276139783568319,0.10019484561610847
