seed_base,arm,population,timing,model,n,n_positive,auroc,auprc,brier
2026,F1,ftv_complete_375,T0,C,375,110,0.6809605488850773,0.5101853814482225,0.22534811414892078
2026,F1,ftv_complete_375,T0,C+F,375,110,0.6805831903945111,0.5101828185046933,0.2254734895410921
2026,F1,ftv_complete_375,T0,C+F+z_P,375,110,0.59704974271012,0.36740977805187236,0.2622468559918228
2026,F1,ftv_complete_375,T0,C+F+z_R,375,110,0.6119725557461406,0.3954675332751286,0.2578932272025243
2026,F1,ftv_complete_375,T0,C+F+z_R+z_P,375,110,0.6243567753001715,0.40338551210651963,0.23438417571749173
2026,F1,ftv_complete_375,T0-T1,C,375,110,0.6809605488850773,0.5101853814482225,0.22534811414892078
2026,F1,ftv_complete_375,T0-T1,C+F,375,110,0.7471698113207548,0.5944760843663942,0.17065331409768403
2026,F1,ftv_complete_375,T0-T1,C+F+z_P,375,110,0.631663807890223,0.43583825432750267,0.23222733518823055
2026,F1,ftv_complete_375,T0-T1,C+F+z_R,375,110,0.6756432246998284,0.5012268441793681,0.2073899119286275
2026,F1,ftv_complete_375,T0-T1,C+F+z_R+z_P,375,110,0.6278559176672385,0.43285353636057067,0.24766910913130807
2026,F1,ftv_complete_375,T0-T2,C,375,110,0.6809605488850773,0.5101853814482225,0.22534811414892078
2026,F1,ftv_complete_375,T0-T2,C+F,375,110,0.7652830188679245,0.6189550432272192,0.16661367686352274
2026,F1,ftv_complete_375,T0-T2,C+F+z_P,375,110,0.6456946826758148,0.4067161021136468,0.2417636494363302
2026,F1,ftv_complete_375,T0-T2,C+F+z_R,375,110,0.6659691252144082,0.4353234575927255,0.23064338303395918
2026,F1,ftv_complete_375,T0-T2,C+F+z_R+z_P,375,110,0.6402744425385934,0.3982588115644784,0.25314615760258663
2026,F1,full_808,T0,C,808,275,0.6818181818181819,0.5401587218196344,0.22572615514752253
2026,F1,full_808,T0,C+z_P,808,275,0.6424629029507078,0.46105529924967303,0.22898982345046828
2026,F1,full_808,T0,C+z_R,808,275,0.7021047245437491,0.5615897441239375,0.20158879808644312
2026,F1,full_808,T0,C+z_R+z_P,808,275,0.650820399113082,0.4808122783466896,0.2235052680217851
2026,F1,full_808,T0,z_P,808,275,0.4696230598669623,0.31799317071727473,0.2652093624443732
2026,F1,full_808,T0,z_R,808,275,0.5280709534368071,0.3726792766406768,0.24170443537383615
2026,F1,full_808,T0,z_R+z_P,808,275,0.4800272897833874,0.3359126109427929,0.2838998804553043
2026,F1,full_808,T0-T1,C,808,275,0.6818181818181819,0.5401587218196344,0.22572615514752253
2026,F1,full_808,T0-T1,C+z_P,808,275,0.6067473989425207,0.42854003124185314,0.2534118358548107
2026,F1,full_808,T0-T1,C+z_R,808,275,0.7048064130990961,0.5571880227838707,0.20255291312321597
2026,F1,full_808,T0-T1,C+z_R+z_P,808,275,0.6433634658024902,0.45540085499215566,0.2363507867807051
2026,F1,full_808,T0-T1,z_P,808,275,0.503476036158963,0.34215722252730163,0.27460340515797377
2026,F1,full_808,T0-T1,z_R,808,275,0.5448609926658707,0.3677994337551801,0.26276965813607855
2026,F1,full_808,T0-T1,z_R+z_P,808,275,0.5208869179600887,0.3505321986280789,0.2583574819948564
2026,F1,full_808,T0-T2,C,808,275,0.6818181818181819,0.5401587218196344,0.22572615514752253
2026,F1,full_808,T0-T2,C+z_P,808,275,0.6548319972710217,0.4783687855232397,0.2193522219563599
2026,F1,full_808,T0-T2,C+z_R,808,275,0.71046904315197,0.5555007267267658,0.20327276248048248
2026,F1,full_808,T0-T2,C+z_R+z_P,808,275,0.6423537438171585,0.4536085951447952,0.24128526449187013
2026,F1,full_808,T0-T2,z_P,808,275,0.5239843083745523,0.3529410274562097,0.27849519925599225
2026,F1,full_808,T0-T2,z_R,808,275,0.5550196145318097,0.3721304816825227,0.2429086480336401
2026,F1,full_808,T0-T2,z_R+z_P,808,275,0.5464438001023366,0.36977189771117547,0.2608683384213869
2026,F2,ftv_complete_375,T0,C,375,110,0.6809605488850773,0.5101853814482225,0.22534811414892078
2026,F2,ftv_complete_375,T0,C+F,375,110,0.6805831903945111,0.5101828185046933,0.2254734895410921
2026,F2,ftv_complete_375,T0,C+F+z_P,375,110,0.641646655231561,0.4468810157196893,0.21824064479456184
2026,F2,ftv_complete_375,T0,C+F+z_R,375,110,0.6185934819897083,0.3976538602697407,0.23900755723128073
2026,F2,ftv_complete_375,T0,C+F+z_R+z_P,375,110,0.6213722126929675,0.4197174842036323,0.23612580436846592
2026,F2,ftv_complete_375,T0-T1,C,375,110,0.6809605488850773,0.5101853814482225,0.22534811414892078
2026,F2,ftv_complete_375,T0-T1,C+F,375,110,0.7471698113207548,0.5944760843663942,0.17065331409768403
2026,F2,ftv_complete_375,T0-T1,C+F+z_P,375,110,0.6469296740994855,0.4552246378649679,0.23105624180668083
2026,F2,ftv_complete_375,T0-T1,C+F+z_R,375,110,0.6721097770154373,0.48922836607649334,0.20726976566517782
2026,F2,ftv_complete_375,T0-T1,C+F+z_R+z_P,375,110,0.6394854202401372,0.4345952346004769,0.23132605566373005
2026,F2,ftv_complete_375,T0-T2,C,375,110,0.6809605488850773,0.5101853814482225,0.22534811414892078
2026,F2,ftv_complete_375,T0-T2,C+F,375,110,0.7652830188679245,0.6189550432272192,0.16661367686352274
2026,F2,ftv_complete_375,T0-T2,C+F+z_P,375,110,0.6834305317324186,0.5120748853002669,0.21800397545579228
