arm,seed_base,fold,state,dimension,variance,std,pcr_labels_used
F2,2026,2,z_R,78,0.5104041760052718,0.7144257666162886,False
F2,2026,2,z_R,79,0.17965696778827078,0.4238596085831614,False
F2,2026,2,z_R,80,1.964984447581175,1.4017790295125603,False
F2,2026,2,z_R,81,0.043655766247065,0.20893962344913183,False
F2,2026,2,z_R,82,0.18277046618936665,0.4275166267987324,False
F2,2026,2,z_R,83,0.3824016005287289,0.6183862874682207,False
F2,2026,2,z_R,84,0.42200190450202657,0.6496167366240087,False
F2,2026,2,z_R,85,0.15621048166761745,0.3952347171841277,False
F2,2026,2,z_R,86,0.22439034758346824,0.4736985830498844,False
F2,2026,2,z_R,87,0.15716982664166873,0.39644649909119983,False
F2,2026,2,z_R,88,1.2840956608957468,1.1331794477909254,False
F2,2026,2,z_R,89,1.0133268920205414,1.0066413919666435,False
F2,2026,2,z_R,90,0.6939303383103408,0.8330248125418238,False
F2,2026,2,z_R,91,1.3892782860745427,1.1786764976339108,False
F2,2026,2,z_R,92,0.38898161096381834,0.623683903082177,False
F2,2026,2,z_R,93,0.3020095222831385,0.549553930277219,False
F2,2026,2,z_R,94,1.7421394652753914,1.3199013089149474,False
F2,2026,2,z_R,95,0.6305408469009158,0.794066021751917,False
F2,2026,2,z_P,0,0.038409371205069785,0.1959830890793126,False
F2,2026,2,z_P,1,0.013189538757288073,0.11484571719175284,False
F2,2026,2,z_P,2,0.008492013142051096,0.09215211957438145,False
F2,2026,2,z_P,3,0.025311548213126797,0.1590960345612888,False
F2,2026,2,z_P,4,0.014410347765200662,0.12004310794544043,False
F2,2026,2,z_P,5,0.038067856148880294,0.19510985661642083,False
F2,2026,2,z_P,6,0.025244398120726305,0.15888485805993693,False
F2,2026,2,z_P,7,0.026393713833648802,0.16246142260133267,False
F2,2026,2,z_P,8,0.018152816059183768,0.13473238682359845,False
F2,2026,2,z_P,9,0.021023920460914607,0.14499627740364443,False
F2,2026,2,z_P,10,0.011101640860833026,0.105364324421661,False
F2,2026,2,z_P,11,0.011381606223837316,0.10668461099820027,False
F2,2026,2,z_P,12,0.0090671117437446,0.09522138280735373,False
F2,2026,2,z_P,13,0.024512330903273132,0.15656414309564348,False
F2,2026,2,z_P,14,0.01774055168999428,0.13319366234920593,False
F2,2026,2,z_P,15,0.021708789755387516,0.14733902997979698,False
F2,2026,2,z_P,16,0.02022519570432365,0.14221531459137463,False
F2,2026,2,z_P,17,0.019234691327849822,0.13868918965748492,False
F2,2026,2,z_P,18,0.011543716705496263,0.10744168979263247,False
F2,2026,2,z_P,19,0.010860182249695068,0.10421219818089948,False
F2,2026,2,z_P,20,0.023741041935026918,0.15408128353251382,False
F2,2026,2,z_P,21,0.011113775088271357,0.10542189093481182,False
F2,2026,2,z_P,22,0.013039086389634823,0.11418881902198141,False
F2,2026,2,z_P,23,0.017539360732173777,0.1324362515785379,False
F2,2026,2,z_P,24,0.033021153528702066,0.1817172350898562,False
F2,2026,2,z_P,25,0.0188956654799331,0.1374615054476456,False
F2,2026,2,z_P,26,0.02319277946476474,0.15229175770462675,False
