population,seed,arm,timing,model_family,n,n_positive,n_negative,auroc,auprc,brier,calibration_slope,ece10,supplementary
full_808,3026,B2,T0_T1,M,808,275,533,0.5370765819546308,0.3738339691857574,0.23311701806578813,0.262891790036462,0.08407587820604007,False
full_808,3026,B2,T0_T2,C,808,275,533,0.6796145318096538,0.5424197284072237,0.2258384791318524,0.7428870600177763,0.13013890017655336,False
full_808,3026,B2,T0_T2,C+M,808,275,533,0.660603786457445,0.5078728192485111,0.2240833632262456,0.579900040689439,0.1057740696859175,False
full_808,3026,B2,T0_T2,M,808,275,533,0.5522838137472283,0.3835431515087374,0.24140906307214757,0.22639545448013157,0.11471936538702163,False
full_808,3026,B2,T0_T3,C,808,275,533,0.6796145318096538,0.5424197284072237,0.2258384791318524,0.7428870600177763,0.13013890017655336,True
full_808,3026,B2,T0_T3,C+M,808,275,533,0.6626982773324236,0.5085479128218193,0.2376592855524168,0.38942386146132557,0.15204982476564258,True
full_808,3026,B2,T0_T3,M,808,275,533,0.52832338393314,0.36630738041596256,0.24009061625736045,0.1536534033949103,0.1142511508694024,True
full_808,3026,B3,T0,C,808,275,533,0.6796145318096538,0.5424197284072237,0.2258384791318524,0.7428870600177763,0.13013890017655336,False
full_808,3026,B3,T0,C+M,808,275,533,0.6563534026948661,0.49328269903590594,0.2266236562316677,0.4393838739769294,0.10751361731083549,False
full_808,3026,B3,T0,M,808,275,533,0.5379362101313321,0.3786020047950157,0.24303195862391774,0.10254350786126908,0.10694930003719832,False
full_808,3026,B3,T0_T1,C,808,275,533,0.6796145318096538,0.5424197284072237,0.2258384791318524,0.7428870600177763,0.13013890017655336,False
full_808,3026,B3,T0_T1,C+M,808,275,533,0.6793245778611632,0.5243632205405877,0.2176096980063986,0.9529811255041543,0.10507803173197415,False
